StrategyID,AnnualBuy_kWh,AnnualSell_kWh,NetElectricBill_Yuan,BatteryWearCost_Yuan,TotalComprehensiveCost_Yuan,EqCycles
1,1027.31546892266,21757.0449435379,-8267.04608258695,609.537370540211,-7657.50871204674,160.314369195776
2,2757.62804203335,23488.881453551,-8395.98106868583,605.191655991665,-7790.78941269417,159.336485528669
3,1787.23187454487,22692.1291381253,-8165.26761660031,492.024558614859,-7673.24305798545,129.406043019527
