E_bat_kWh,P_bat_kW,AnnualCost_Yuan,AnnualBuy_kWh,AnnualSell_kWh,SelfUseRatio,PeakGridImport_kW,EqCycles
15,10,-7657.50871204674,1027.31546892266,21757.0449435379,0.252864674130734,6.18673052016764,160.314369195776
10,10,-7657.46045629008,2302.244620987,23328.8093288024,0.198890400546161,6.18673052016764,161.883334530434
10,7,-7657.24688635844,2302.24462098699,23328.8093288024,0.198890400546161,5.75757165638259,161.883334530434
10,5,-7655.36526397841,2302.24462098698,23328.8093288024,0.198890400546162,4.70546371264069,161.883334530434
10,3,-7637.03248632743,2302.24462098698,23328.8093288024,0.198890400546162,5.67751373510826,161.883334530434
5,5,-7621.5078703154,3612.55464038,24944.2537971889,0.143416156114354,8.67020752467714,162.222222222222
5,3,-7621.5078703154,3612.55464038001,24944.2537971889,0.143416156114354,7.24706144198286,162.222222222222
5,10,-7621.50787031539,3612.55464038002,24944.2537971889,0.143416156114354,8.67020752467714,162.222222222222
5,7,-7621.50787031539,3612.55464038001,24944.2537971889,0.143416156114354,8.67020752467714,162.222222222222
5,2,-7621.46542734601,3612.55464038002,24944.2537971889,0.143416156114354,6.67751373510826,162.222222222222
15,7,-7614.2757978863,1030.69172710353,21761.2131635142,0.252721537762793,5.75757165638259,160.175428529897
10,2,-7594.32425816988,2302.24462098698,23328.8093288024,0.198890400546162,6.67751373510826,161.883334530434
15,5,-7519.2460112353,1086.88292765844,21830.5850160512,0.250339313440243,4.70546371264069,157.863033445333
20,10,-7466.63005749845,203.341183476484,20740.3932975788,0.287776417006217,6.18673052016764,145.652068045808
20,7,-7440.46257790731,378.131824494982,20955.2696506946,0.280397578817328,5.75757165638259,140.280159217913
15,3,-7433.24996857741,1384.37804302049,22196.4949315176,0.23777399380974,5.67751373510826,145.666036263119
30,10,-7428.72631806182,23.3861594316951,20513.7821567828,0.29555822694243,1.89153094595445,100.878231043806
30,7,-7420.08676712881,268.045293622922,20814.9159088772,0.285217316005987,1.67751373510826,95.8593351755649
20,5,-7414.09092612353,719.320088871445,21375.065358494,0.265981825034625,4.70546371264069,129.785266522927
30,5,-7406.15537430755,675.437872190928,21316.4453379008,0.267994832237673,3.67751373510826,87.5005113585052
15,2,-7403.5018783647,1583.34701194558,22441.2097079683,0.229370506354388,6.67751373510826,137.508877048095
20,3,-7395.31652028724,1240.17462605575,22016.2437994623,0.243963804449736,5.67751373510826,113.75580549872
30,3,-7389.43292904738,1218.39802462004,21984.9146618874,0.245039644733745,5.67751373510826,76.3593559587293
20,2,-7386.80775986812,1506.42653925681,22344.0239392167,0.232707858517538,6.67751373510826,105.56130200486
30,2,-7381.69343045364,1491.99026770349,22321.756937299,0.233472505728456,6.67751373510826,70.7453180352017
